Timestamp,PacketId,Pelvis_AccX,Pelvis_AccY,Pelvis_AccZ,Pelvis_GyrX,Pelvis_GyrY,Pelvis_GyrZ,Pelvis_QuatW,Pelvis_QuatX,Pelvis_QuatY,Pelvis_QuatZ,Left_AccX,Left_AccY,Left_AccZ,Left_GyrX,Left_GyrY,Left_GyrZ,Left_QuatW,Left_QuatX,Left_QuatY,Left_QuatZ,Right_AccX,Right_AccY,Right_AccZ,Right_GyrX,Right_GyrY,Right_GyrZ,Right_QuatW,Right_QuatX,Right_QuatY,Right_QuatZ,GaitEvent_LeftStance,GaitEvent_RightStance,GaitEvent_IsWalking,MotionContext_State,MotionContext_Confidence,PD_DirectionDeg,PD_Stability,PD_IsValid,FPA_Left_Deg,FPA_Left_Error,FPA_Left_OnTarget,FPA_Right_Deg,FPA_Right_Error,FPA_Right_OnTarget,FPA_Quality,Stage,Attempt
1784541098453,3581165,9.7590,0.0550,0.9790,0.0031,0.0011,0.0001,0.023463,-0.671077,-0.023011,-0.740659,-0.0208,0.0888,9.7100,0.0098,0.0027,0.0043,0.207169,0.003581,-0.002889,-0.978294,-0.0039,-0.0177,9.7762,0.0036,0.0038,-0.0034,-0.006525,0.006429,0.005979,-0.999940,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784541098477,3581166,9.7698,0.0636,0.9789,0.0013,0.0024,0.0005,0.023457,-0.671067,-0.023018,-0.740668,-0.0247,0.0778,9.7117,0.0093,0.0035,0.0032,0.207181,0.003594,-0.002882,-0.978292,-0.0016,-0.0098,9.7649,0.0029,0.0059,-0.0014,-0.006544,0.006433,0.005976,-0.999940,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784541098503,3581167,9.7780,0.0414,0.9739,0.0012,0.0014,0.0030,0.023472,-0.671065,-0.023002,-0.740669,0.0022,0.0824,9.7251,0.0093,0.0030,0.0021,0.207179,0.003600,-0.002876,-0.978292,-0.0113,-0.0142,9.7844,0.0025,0.0051,-0.0020,-0.006569,0.006427,0.005978,-0.999940,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784541098527,3581168,9.7587,0.0428,0.9720,0.0006,0.0001,0.0012,0.023462,-0.671076,-0.022993,-0.740660,-0.0262,0.0983,9.7231,0.0113,0.0028,0.0037,0.207196,0.003610,-0.002894,-0.978289,0.0003,-0.0359,9.7742,0.0031,0.0037,-0.0036,-0.006619,0.006402,0.005973,-0.999940,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784541098551,3581169,9.7791,0.0503,0.9728,0.0013,0.0018,0.0005,0.023445,-0.671068,-0.022991,-0.740668,-0.0207,0.0778,9.7216,0.0099,0.0024,0.0024,0.207199,0.003610,-0.002897,-0.978288,0.0045,-0.0141,9.7723,0.0030,0.0065,-0.0021,-0.006637,0.006413,0.005969,-0.999940,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784541098578,3581170,9.7597,0.0519,0.9710,0.0018,0.0007,0.0019,0.023447,-0.671072,-0.022985,-0.740665,-0.0151,0.0809,9.7374,0.0105,0.0018,0.0028,0.207208,0.003605,-0.002908,-0.978286,0.0128,-0.0198,9.7797,0.0020,0.0056,-0.0029,-0.006674,0.006411,0.005977,-0.999939,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784541098602,3581171,9.7626,0.0578,0.9504,0.0024,0.0006,0.0019,0.023455,-0.671075,-0.022984,-0.740662,-0.0250,0.0774,9.7291,0.0100,0.0032,0.0027,0.207220,0.003615,-0.002910,-0.978283,-0.0017,-0.0179,9.7598,0.0011,0.0050,-0.0017,-0.006692,0.006402,0.005996,-0.999939,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784541098628,3581172,9.7614,0.0478,0.9521,0.0018,0.0007,0.0019,0.023461,-0.671080,-0.022981,-0.740657,-0.0193,0.0826,9.7083,0.0086,0.0022,0.0017,0.207215,0.003610,-0.002897,-0.978284,-0.0115,-0.0224,9.7793,0.0034,0.0066,-0.0014,-0.006722,0.006413,0.005986,-0.999939,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784541098652,3581173,9.7605,0.0491,0.9621,0.0031,0.0024,0.0012,0.023470,-0.671068,-0.022995,-0.740667,-0.0136,0.0776,9.7184,0.0104,0.0012,0.0030,0.207227,0.003598,-0.002908,-0.978282,0.0116,-0.0340,9.7621,0.0032,0.0052,-0.0025,-0.006753,0.006406,0.005979,-0.999939,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784541098677,3581174,9.7682,0.0403,0.9748,0.0014,0.0023,-0.0007,0.023448,-0.671056,-0.023007,-0.740679,-0.0174,0.0744,9.7258,0.0080,0.0037,0.0030,0.207239,0.003610,-0.002884,-0.978279,-0.0060,-0.0158,9.7598,0.0024,0.0064,-0.0022,-0.006769,0.006414,0.005983,-0.999939,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
