Timestamp,PacketId,Pelvis_AccX,Pelvis_AccY,Pelvis_AccZ,Pelvis_GyrX,Pelvis_GyrY,Pelvis_GyrZ,Pelvis_QuatW,Pelvis_QuatX,Pelvis_QuatY,Pelvis_QuatZ,Left_AccX,Left_AccY,Left_AccZ,Left_GyrX,Left_GyrY,Left_GyrZ,Left_QuatW,Left_QuatX,Left_QuatY,Left_QuatZ,Right_AccX,Right_AccY,Right_AccZ,Right_GyrX,Right_GyrY,Right_GyrZ,Right_QuatW,Right_QuatX,Right_QuatY,Right_QuatZ,GaitEvent_LeftStance,GaitEvent_RightStance,GaitEvent_IsWalking,MotionContext_State,MotionContext_Confidence,PD_DirectionDeg,PD_Stability,PD_IsValid,FPA_Left_Deg,FPA_Left_Error,FPA_Left_OnTarget,FPA_Right_Deg,FPA_Right_Error,FPA_Right_OnTarget
1783432919013,22088,9.7848,0.2639,0.9550,0.0095,0.0349,0.0053,0.639100,0.358200,-0.564400,0.380300,-1.7992,-1.3730,9.4565,0.0155,0.0119,0.0074,0.575000,-0.118000,-0.004700,0.809600,-2.8725,1.7182,9.1940,-0.0042,0.0130,0.0019,0.940300,0.040900,0.169300,0.292400,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919023,22089,9.8129,0.2301,0.9666,0.0127,0.0371,0.0071,0.638900,0.358500,-0.563900,0.381100,-1.8126,-1.3905,9.4596,0.0140,0.0137,0.0081,0.574900,-0.118100,-0.004600,0.809600,-2.8707,1.7215,9.1808,-0.0012,0.0172,-0.0011,0.940300,0.040800,0.169500,0.292200,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919034,22090,9.8069,0.2474,0.9755,0.0126,0.0432,0.0078,0.639500,0.357700,-0.564000,0.380800,-1.8150,-1.3899,9.4460,0.0122,0.0179,0.0096,0.574900,-0.118200,-0.004500,0.809600,-2.8906,1.7244,9.1974,-0.0023,0.0201,0.0012,0.940200,0.040700,0.169700,0.292400,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919044,22091,9.7737,0.2876,0.9928,0.0133,0.0473,0.0126,0.639800,0.357400,-0.563700,0.381100,-1.8318,-1.3719,9.4764,0.0088,0.0149,0.0086,0.574900,-0.118400,-0.004400,0.809600,-2.8880,1.7259,9.2074,0.0023,0.0221,-0.0005,0.940300,0.040700,0.169900,0.292000,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919055,22092,9.7658,0.2727,1.0039,0.0026,0.0446,0.0127,0.640100,0.356900,-0.563600,0.381200,-1.8203,-1.3754,9.4794,0.0144,0.0138,0.0093,0.574400,-0.118500,-0.004300,0.809900,-2.8964,1.6972,9.1869,0.0046,0.0236,0.0019,0.940400,0.040800,0.170200,0.291700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919066,22093,9.7766,0.2228,1.0269,-0.0018,0.0449,0.0125,0.640400,0.356400,-0.563400,0.381400,-1.8023,-1.3900,9.4289,0.0119,0.0159,0.0088,0.574800,-0.118600,-0.004200,0.809600,-2.8867,1.7161,9.1895,0.0019,0.0229,0.0008,0.940300,0.040600,0.170400,0.291800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919076,22094,9.7874,0.2129,1.0397,0.0031,0.0516,0.0126,0.640600,0.356200,-0.563000,0.381800,-1.8127,-1.3955,9.4369,0.0153,0.0186,0.0131,0.575000,-0.118600,-0.004100,0.809500,-2.9063,1.7151,9.1970,-0.0008,0.0245,-0.0002,0.940200,0.040400,0.170500,0.292100,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919086,22095,9.8074,0.2451,1.0439,0.0030,0.0591,0.0154,0.640900,0.356000,-0.562500,0.382300,-1.8363,-1.3792,9.4600,0.0133,0.0210,0.0104,0.575200,-0.118800,-0.004000,0.809300,-2.8976,1.7314,9.1673,0.0023,0.0245,0.0003,0.940100,0.040300,0.170800,0.292300,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919097,22096,9.7933,0.2487,1.0670,0.0080,0.0593,0.0152,0.641100,0.355700,-0.562100,0.382700,-1.8432,-1.3661,9.4573,0.0141,0.0206,0.0098,0.575300,-0.118900,-0.003800,0.809200,-2.9039,1.7170,9.1840,0.0025,0.0286,0.0006,0.940100,0.040200,0.171000,0.292200,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919107,22097,9.7636,0.2376,1.0792,0.0102,0.0561,0.0153,0.641700,0.354900,-0.562000,0.382700,-1.8328,-1.4028,9.4461,0.0134,0.0227,0.0128,0.575400,-0.119100,-0.003600,0.809100,-2.9171,1.7328,9.1839,0.0001,0.0299,0.0004,0.940100,0.040000,0.171300,0.292100,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919117,22098,9.7423,0.1985,1.0816,0.0163,0.0481,0.0122,0.641800,0.355000,-0.561400,0.383300,-1.8320,-1.3718,9.4690,0.0148,0.0248,0.0134,0.575500,-0.119200,-0.003500,0.809100,-2.9262,1.7205,9.1766,0.0031,0.0289,0.0004,0.940100,0.039900,0.171600,0.292000,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919127,22099,9.7422,0.2269,1.1021,0.0130,0.0477,0.0130,0.642300,0.354400,-0.561300,0.383200,-1.8610,-1.3608,9.4711,0.0150,0.0239,0.0131,0.575200,-0.119400,-0.003300,0.809200,-2.9471,1.7199,9.1835,0.0016,0.0298,-0.0012,0.940000,0.039900,0.171900,0.291800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919138,22100,9.7259,0.2405,1.1209,0.0082,0.0410,0.0147,0.642500,0.354100,-0.561100,0.383400,-1.8560,-1.3692,9.4533,0.0133,0.0225,0.0110,0.574700,-0.119500,-0.003200,0.809600,-2.9610,1.7187,9.1698,0.0014,0.0268,-0.0004,0.940000,0.039900,0.172200,0.291800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919149,22101,9.7210,0.2470,1.1484,0.0025,0.0298,0.0156,0.642500,0.354000,-0.560900,0.383800,-1.8537,-1.3656,9.4466,0.0140,0.0197,0.0104,0.574300,-0.119700,-0.003100,0.809800,-2.9483,1.7302,9.1875,0.0004,0.0239,-0.0002,0.940000,0.039900,0.172500,0.291700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919160,22102,9.7291,0.2229,1.1079,-0.0016,0.0280,0.0150,0.642700,0.353800,-0.560700,0.384000,-1.8645,-1.3712,9.4545,0.0130,0.0182,0.0119,0.574600,-0.119800,-0.002900,0.809600,-2.9518,1.7254,9.1774,-0.0043,0.0195,-0.0016,0.940000,0.039700,0.172600,0.291700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919171,22103,9.7542,0.2358,1.1164,-0.0119,0.0293,0.0163,0.643000,0.353100,-0.560900,0.383800,-1.8584,-1.3798,9.4369,0.0142,0.0193,0.0112,0.574000,-0.119900,-0.002800,0.810000,-2.9408,1.7062,9.1770,-0.0034,0.0197,0.0021,0.940000,0.039700,0.172800,0.291400,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919181,22104,9.7593,0.2124,1.1146,-0.0175,0.0264,0.0149,0.643100,0.352800,-0.560800,0.384000,-1.8744,-1.3703,9.4693,0.0111,0.0185,0.0128,0.574200,-0.120100,-0.002700,0.809800,-2.9668,1.7030,9.1732,-0.0028,0.0198,0.0013,0.940100,0.039500,0.173000,0.291200,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919191,22105,9.7510,0.1968,1.1297,-0.0103,0.0186,0.0144,0.643600,0.352100,-0.561000,0.383600,-1.8924,-1.3695,9.4677,0.0133,0.0167,0.0107,0.573600,-0.120200,-0.002600,0.810200,-2.9785,1.7008,9.1603,-0.0037,0.0188,0.0001,0.940200,0.039500,0.173200,0.290700,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919201,22106,9.7461,0.1713,1.1341,-0.0094,0.0144,0.0172,0.643500,0.351800,-0.561000,0.383800,-1.8828,-1.3637,9.4686,0.0100,0.0132,0.0087,0.573500,-0.120400,-0.002600,0.810300,-2.9529,1.7362,9.1682,-0.0035,0.0185,0.0009,0.940200,0.039400,0.173400,0.290400,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919212,22107,9.7290,0.1843,1.1645,-0.0053,0.0101,0.0170,0.643500,0.351700,-0.561000,0.384000,-1.8842,-1.3639,9.4550,0.0093,0.0112,0.0085,0.573200,-0.120500,-0.002500,0.810500,-2.9737,1.7067,9.1897,-0.0035,0.0164,0.0015,0.940300,0.039400,0.173500,0.290000,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919222,22108,9.7206,0.2170,1.1454,-0.0111,0.0090,0.0172,0.643300,0.351700,-0.561000,0.384400,-1.8778,-1.3770,9.4667,0.0121,0.0090,0.0065,0.573200,-0.120600,-0.002500,0.810500,-2.9859,1.7089,9.1858,-0.0031,0.0136,0.0016,0.940500,0.039300,0.173700,0.289300,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919233,22109,9.7168,0.1910,1.1377,-0.0208,0.0046,0.0147,0.643400,0.351300,-0.561200,0.384100,-1.8969,-1.3576,9.4609,0.0127,0.0097,0.0079,0.572900,-0.120600,-0.002400,0.810700,-2.9745,1.7096,9.1758,-0.0024,0.0118,0.0043,0.940500,0.039300,0.173700,0.289200,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919244,22110,9.7278,0.1807,1.1495,-0.0207,0.0019,0.0105,0.643400,0.351200,-0.561300,0.384200,-1.8869,-1.3761,9.4459,0.0123,0.0095,0.0068,0.573000,-0.120700,-0.002400,0.810600,-2.9694,1.7110,9.1867,-0.0009,0.0095,0.0034,0.940600,0.039200,0.173800,0.289100,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
1783432919255,22111,9.7499,0.1732,1.1424,-0.0203,0.0028,0.0070,0.643700,0.350600,-0.561700,0.383700,-1.8908,-1.3633,9.4437,0.0135,0.0083,0.0078,0.572900,-0.120700,-0.002400,0.810700,-2.9772,1.7052,9.1658,-0.0009,0.0095,0.0034,0.940600,0.039300,0.173900,0.288800,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False
