PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
200273,Left,0,0.3471,0.0596,-0.9341,0.0579,0.0008,0.0079,0.0076,-0.0000,-0.0000,-0.0098,-6.4252,-0.6973,7.3707,0.0000,0.0001,0.0001,1.0000,-0.1606,-0.0175,0.1843
200273,Right,0,0.2828,-0.0996,-0.9457,-0.1252,0.0117,0.0086,-0.0001,-0.0000,-0.0000,-0.0602,-5.4613,1.1477,7.9979,0.0001,0.0001,-0.0000,1.0000,-0.1365,0.0287,0.2000
200273,Pelvis,0,-0.5408,-0.4528,-0.5326,0.4679,0.0259,0.0192,0.0056,0.0000,0.0000,0.0043,9.8140,-0.2343,0.0523,0.0003,0.0002,0.0001,1.0000,0.2454,-0.0058,0.0012
200274,Left,0,0.3472,0.0596,-0.9341,0.0579,0.0003,0.0051,0.0061,-0.0101,0.0010,-0.0158,-6.4135,-0.6996,7.3727,0.0000,0.0001,0.0001,1.0000,-0.1603,-0.0175,0.1843
200274,Right,0,0.2829,-0.0997,-0.9457,-0.1252,0.0107,0.0068,-0.0013,-0.0058,0.0047,-0.0691,-5.4506,1.1437,7.9950,0.0001,0.0001,-0.0000,1.0000,-0.1362,0.0286,0.1999
200274,Pelvis,0,-0.5405,-0.4528,-0.5326,0.4682,0.0248,0.0245,0.0025,0.0002,-0.0039,0.0397,9.8495,-0.2339,0.0493,0.0003,0.0003,0.0000,1.0000,0.2462,-0.0058,0.0012
200275,Left,0,0.3473,0.0596,-0.9341,0.0580,0.0001,0.0094,0.0098,-0.0164,0.0022,-0.0342,-6.3982,-0.6991,7.3616,0.0000,0.0001,0.0001,1.0000,-0.1599,-0.0175,0.1841
200275,Right,0,0.2830,-0.0999,-0.9457,-0.1252,0.0120,0.0085,0.0013,-0.0225,-0.0148,-0.0933,-5.4286,1.1665,7.9773,0.0001,0.0001,0.0000,1.0000,-0.1357,0.0291,0.1995
200275,Pelvis,0,-0.5402,-0.4527,-0.5327,0.4685,0.0194,0.0297,0.0056,0.0170,-0.0171,0.0334,9.8437,-0.2163,0.0462,0.0002,0.0004,0.0001,1.0000,0.2461,-0.0054,0.0011
200276,Left,0,0.3474,0.0595,-0.9340,0.0581,0.0025,0.0140,0.0095,-0.0133,0.0016,-0.0250,-6.4089,-0.6969,7.3647,0.0000,0.0002,0.0001,1.0000,-0.1602,-0.0174,0.1841
200276,Right,0,0.2831,-0.1000,-0.9456,-0.1253,0.0116,0.0131,-0.0034,-0.0122,-0.0228,-0.0978,-5.4379,1.1728,7.9645,0.0001,0.0002,-0.0000,1.0000,-0.1359,0.0293,0.1991
200276,Pelvis,0,-0.5400,-0.4525,-0.5328,0.4689,0.0106,0.0348,0.0067,0.0087,0.0199,-0.0028,9.8068,-0.2307,0.0894,0.0001,0.0004,0.0001,1.0000,0.2452,-0.0057,0.0021
200277,Left,0,0.3476,0.0595,-0.9339,0.0582,-0.0008,0.0131,0.0090,-0.0038,-0.0002,0.0027,-6.4367,-0.6941,7.3775,-0.0000,0.0002,0.0001,1.0000,-0.1609,-0.0174,0.1845
200277,Right,0,0.2832,-0.1002,-0.9455,-0.1254,0.0104,0.0100,-0.0022,0.0010,0.0042,-0.0536,-5.4709,1.1504,7.9992,0.0001,0.0001,-0.0000,1.0000,-0.1367,0.0287,0.2000
200277,Pelvis,0,-0.5398,-0.4524,-0.5329,0.4691,0.0101,0.0314,0.0053,-0.0165,0.0545,-0.0154,9.7932,-0.2618,0.1268,0.0001,0.0004,0.0001,1.0000,0.2448,-0.0065,0.0031
200278,Left,0,0.3477,0.0594,-0.9339,0.0583,0.0006,0.0103,0.0101,0.0097,-0.0122,-0.0130,-6.4380,-0.6776,7.3570,0.0000,0.0001,0.0001,1.0000,-0.1609,-0.0170,0.1839
200278,Right,0,0.2833,-0.1003,-0.9455,-0.1254,0.0108,0.0114,0.0002,-0.0106,-0.0014,-0.0488,-5.4673,1.1618,8.0058,0.0001,0.0001,0.0000,1.0000,-0.1367,0.0290,0.2002
200278,Pelvis,0,-0.5395,-0.4522,-0.5330,0.4694,0.0125,0.0254,0.0043,-0.0422,0.0831,-0.0369,9.7705,-0.2922,0.1591,0.0002,0.0003,0.0001,1.0000,0.2443,-0.0073,0.0039
200279,Left,0,0.3478,0.0594,-0.9339,0.0584,-0.0008,0.0067,0.0071,0.0038,0.0086,-0.0097,-6.4389,-0.6978,7.3588,-0.0000,0.0001,0.0001,1.0000,-0.1610,-0.0175,0.1840
200279,Right,0,0.2834,-0.1005,-0.9455,-0.1254,0.0114,0.0059,0.0013,-0.0070,0.0190,-0.0558,-5.4644,1.1429,8.0020,0.0001,0.0001,0.0000,1.0000,-0.1366,0.0285,0.2001
200279,Pelvis,0,-0.5394,-0.4522,-0.5330,0.4696,0.0114,0.0093,0.0057,-0.0192,0.1059,-0.0371,9.7705,-0.2741,0.1895,0.0001,0.0001,0.0001,1.0000,0.2443,-0.0068,0.0047
200280,Left,0,0.3479,0.0593,-0.9338,0.0585,0.0024,0.0040,0.0087,-0.0160,0.0019,-0.0033,-6.4289,-0.6933,7.3765,0.0000,0.0001,0.0001,1.0000,-0.1607,-0.0174,0.1844
200280,Right,0,0.2834,-0.1006,-0.9454,-0.1254,0.0106,0.0034,-0.0001,-0.0033,0.0114,-0.0760,-5.4583,1.1489,7.9807,0.0001,0.0000,-0.0000,1.0000,-0.1364,0.0287,0.1995
200280,Pelvis,0,-0.5394,-0.4522,-0.5329,0.4697,0.0082,-0.0033,0.0086,-0.0141,0.1156,-0.0316,9.7759,-0.2727,0.2026,0.0001,-0.0000,0.0001,1.0000,0.2444,-0.0068,0.0051
200281,Left,0,0.3479,0.0593,-0.9338,0.0586,0.0022,0.0031,0.0075,-0.0266,0.0137,-0.0093,-6.4186,-0.7043,7.3766,0.0000,0.0000,0.0001,1.0000,-0.1605,-0.0176,0.1844
200281,Right,0,0.2835,-0.1007,-0.9454,-0.1255,0.0123,0.0073,0.0000,-0.0200,0.0199,-0.0869,-5.4380,1.1467,7.9815,0.0002,0.0001,0.0000,1.0000,-0.1359,0.0286,0.1996
200281,Pelvis,0,-0.5394,-0.4522,-0.5328,0.4698,0.0027,-0.0119,0.0084,-0.0141,0.0971,-0.0141,9.7935,-0.2728,0.1847,0.0000,-0.0001,0.0001,1.0000,0.2448,-0.0068,0.0047
200282,Left,0,0.3480,0.0592,-0.9338,0.0587,0.0024,0.0040,0.0087,-0.0098,0.0010,-0.0158,-6.4267,-0.6872,7.3624,0.0000,0.0001,0.0001,1.0000,-0.1607,-0.0172,0.1841
200282,Right,0,0.2835,-0.1009,-0.9453,-0.1255,0.0105,0.0083,-0.0009,-0.0118,0.0050,-0.0847,-5.4500,1.1607,7.9740,0.0001,0.0001,-0.0000,1.0000,-0.1362,0.0290,0.1994
200282,Pelvis,0,-0.5395,-0.4521,-0.5327,0.4698,-0.0045,-0.0119,0.0063,-0.0148,0.0747,-0.0057,9.8021,-0.2725,0.1618,-0.0001,-0.0001,0.0001,1.0000,0.2451,-0.0068,0.0041
200283,Right,0,0.2836,-0.1010,-0.9453,-0.1255,0.0119,0.0061,0.0010,-0.0057,0.0115,-0.0625,-5.4675,1.1576,7.9896,0.0001,0.0001,0.0000,1.0000,-0.1367,0.0289,0.1998
200283,Pelvis,0,-0.5396,-0.4520,-0.5327,0.4697,-0.0069,-0.0111,0.0031,-0.0289,0.0458,-0.0042,9.8037,-0.2837,0.1298,-0.0001,-0.0001,0.0000,1.0000,0.2451,-0.0071,0.0033
200284,Left,0,0.3480,0.0591,-0.9338,0.0588,0.0021,0.0033,0.0082,-0.0193,0.0173,-0.0062,-6.4280,-0.7028,7.3725,0.0001,0.0001,0.0002,1.0000,-0.3214,-0.0352,0.3686
200284,Right,0,0.2836,-0.1012,-0.9453,-0.1256,0.0122,0.0071,0.0009,-0.0149,0.0122,-0.0645,-5.4598,1.1618,7.9917,0.0002,0.0001,0.0000,1.0000,-0.1365,0.0290,0.1998
200284,Pelvis,0,-0.5396,-0.4519,-0.5328,0.4698,-0.0067,-0.0026,0.0010,-0.0397,0.0702,0.0166,9.8238,-0.3000,0.1542,-0.0001,-0.0000,0.0000,1.0000,0.2456,-0.0075,0.0039
200285,Left,0,0.3481,0.0591,-0.9338,0.0589,-0.0008,0.0042,0.0074,-0.0164,0.0116,-0.0125,-6.4264,-0.6946,7.3663,-0.0000,0.0001,0.0001,1.0000,-0.1606,-0.0174,0.1842
