PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
433,Left,0,0.1998,0.0169,-0.9704,-0.1346,0.0067,0.0012,-0.0037,-0.0000,0.0000,-0.0311,-3.7488,-0.8473,8.9949,0.0001,0.0000,-0.0000,1.0000,-0.0937,-0.0212,0.2249
433,Right,0,0.1588,-0.1581,-0.8931,-0.3900,0.0092,0.0037,0.0067,0.0000,-0.0000,-0.0744,-3.9636,1.5447,8.7600,0.0001,0.0000,0.0001,1.0000,-0.0991,0.0386,0.2190
434,Left,0,0.1998,0.0168,-0.9704,-0.1347,0.0085,0.0012,-0.0006,0.0162,-0.0042,-0.0453,-3.7588,-0.8458,8.9754,0.0001,0.0000,-0.0000,1.0000,-0.0940,-0.0212,0.2244
434,Right,0,0.1588,-0.1583,-0.8931,-0.3899,0.0134,0.0061,0.0073,-0.0010,-0.0190,-0.0777,-3.9741,1.5576,8.7493,0.0002,0.0001,0.0001,1.0000,-0.0993,0.0389,0.2187
435,Left,0,0.1998,0.0168,-0.9704,-0.1347,0.0098,-0.0024,0.0000,0.0270,-0.0193,-0.0297,-3.7782,-0.8340,8.9854,0.0001,-0.0000,0.0000,1.0000,-0.0945,-0.0209,0.2246
435,Right,0,0.1587,-0.1584,-0.8932,-0.3899,0.0079,-0.0031,0.0073,-0.0155,-0.0315,-0.0746,-3.9742,1.5802,8.7488,0.0001,-0.0000,0.0001,1.0000,-0.0994,0.0395,0.2187
436,Left,0,0.1997,0.0166,-0.9704,-0.1347,0.0098,-0.0037,-0.0018,0.0236,-0.0260,-0.0523,-3.7677,-0.8222,8.9663,0.0001,-0.0000,-0.0000,1.0000,-0.0942,-0.0206,0.2242
436,Right,0,0.1586,-0.1584,-0.8932,-0.3898,0.0067,-0.0092,0.0098,0.0121,-0.0023,-0.0720,-3.9725,1.5436,8.7589,0.0001,-0.0001,0.0001,1.0000,-0.0993,0.0386,0.2190
437,Left,0,0.1996,0.0165,-0.9704,-0.1349,0.0085,-0.0055,-0.0043,0.0222,-0.0152,-0.0424,-3.7666,-0.8302,8.9767,0.0001,-0.0001,-0.0001,1.0000,-0.0942,-0.0208,0.2244
437,Right,0,0.1584,-0.1585,-0.8933,-0.3897,0.0061,-0.0079,0.0128,0.0146,0.0064,-0.0863,-3.9605,1.5363,8.7497,0.0001,-0.0001,0.0002,1.0000,-0.0990,0.0384,0.2187
438,Left,0,0.1996,0.0165,-0.9704,-0.1349,0.0073,-0.0049,-0.0079,0.0145,0.0055,-0.0355,-3.7556,-0.8485,8.9872,0.0001,-0.0001,-0.0001,1.0000,-0.0939,-0.0212,0.2247
438,Right,0,0.1583,-0.1586,-0.8933,-0.3895,0.0098,-0.0085,0.0140,0.0016,-0.0102,-0.0920,-3.9581,1.5589,8.7404,0.0001,-0.0001,0.0002,1.0000,-0.0990,0.0389,0.2185
439,Left,0,0.1995,0.0165,-0.9704,-0.1350,0.0067,-0.0043,-0.0073,0.0044,0.0170,-0.0294,-3.7446,-0.8574,8.9975,0.0001,-0.0001,-0.0001,1.0000,-0.0936,-0.0214,0.2249
