PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
246,Left,0,0.0625,0.0872,-0.9528,0.2840,0.1502,0.2484,-0.0070,-0.0000,-0.0000,-0.2471,-1.6415,-1.2326,9.3428,0.0019,0.0031,-0.0001,1.0000,-0.0403,-0.0312,0.2336
246,Pelvis,0,-0.2918,0.4476,-0.7336,-0.4199,-0.0913,0.2508,-0.4084,0.0000,0.0000,-5.0793,3.8093,-1.9319,2.0403,-0.0011,0.0031,-0.0051,1.0000,0.0951,-0.0487,0.0508
246,Right,0,-0.2114,-0.3395,0.5893,0.7020,1.6685,1.6869,0.3154,-0.0000,-0.0000,7.0022,3.5357,-11.4928,11.7574,0.0209,0.0211,0.0039,0.9996,0.0956,-0.2930,0.2859
247,Left,0,0.0680,0.0878,-0.9524,0.2838,0.0805,0.4359,0.0314,-0.5710,-0.2695,-0.5404,-0.9961,-1.2954,9.1491,0.0010,0.0054,0.0004,1.0000,-0.0236,-0.0326,0.2288
247,Pelvis,0,-0.2926,0.4454,-0.7329,-0.4229,0.0627,0.1209,-0.2810,-0.1320,0.5883,-3.8647,5.0596,-2.4590,2.0237,0.0008,0.0015,-0.0035,1.0000,0.1263,-0.0620,0.0504
247,Right,0,-0.2106,-0.3303,0.5823,0.7124,0.4644,0.8781,-0.7476,1.7131,-1.6100,7.6119,2.5379,-13.5767,10.8804,0.0058,0.0110,-0.0093,0.9999,0.0632,-0.3416,0.2693
248,Left,0,0.0745,0.0887,-0.9518,0.2840,0.0685,0.5180,0.0669,0.2887,-0.0916,0.2052,-2.0516,-1.0432,9.7547,0.0009,0.0065,0.0008,1.0000,-0.0497,-0.0263,0.2442
248,Pelvis,0,-0.2926,0.4409,-0.7338,-0.4260,0.2398,0.2829,-0.2470,-0.0712,0.9229,-3.3851,5.5455,-2.7460,1.9693,0.0030,0.0035,-0.0031,1.0000,0.1386,-0.0692,0.0485
248,Right,0,-0.2448,-0.3759,0.5510,0.7037,-4.8943,-0.7023,-1.3737,-13.8282,-2.1079,0.4678,-1.0322,0.8779,17.3179,-0.0611,-0.0088,-0.0172,0.9979,-0.0289,0.0488,0.4303
249,Left,0,0.0804,0.0906,-0.9510,0.2846,-0.0150,0.4915,0.0955,0.1121,0.1317,0.0118,-2.1101,-1.2893,9.5098,-0.0002,0.0061,0.0012,1.0000,-0.0513,-0.0322,0.2381
249,Pelvis,0,-0.2956,0.4357,-0.7344,-0.4282,0.5171,0.3393,-0.3235,-0.6657,-0.0851,-3.4566,5.4101,-1.8871,2.8321,0.0065,0.0042,-0.0040,1.0000,0.1354,-0.0482,0.0699
249,Right,0,-0.2170,-0.3902,0.5571,0.7002,-2.5431,-3.8162,-0.8141,-9.3293,-18.7992,11.3222,-13.3319,-14.4294,22.4036,-0.0318,-0.0477,-0.0102,0.9983,-0.3634,-0.3395,0.5542
250,Left,0,0.0864,0.0934,-0.9499,0.2855,-0.0966,0.5255,0.1172,0.0712,0.2189,0.1775,-2.2818,-1.4120,9.6259,-0.0012,0.0066,0.0015,1.0000,-0.0554,-0.0351,0.2411
250,Pelvis,0,-0.3008,0.4279,-0.7352,-0.4312,0.5716,0.3054,-0.2585,-1.2491,-1.6209,-3.8328,4.8134,-0.7173,4.0329,0.0071,0.0038,-0.0032,1.0000,0.1207,-0.0190,0.1002
250,Right,0,-0.2331,-0.2911,0.6193,0.6910,-0.5890,-2.7912,-0.0801,-9.7027,4.7957,0.6189,4.8321,0.5607,14.2263,-0.0074,-0.0349,-0.0010,0.9994,0.1083,0.0165,0.3595
251,Left,0,0.0927,0.0971,-0.9487,0.2864,-0.1514,0.5619,0.1179,0.1173,0.2661,0.0802,-2.4581,-1.4353,9.4791,-0.0019,0.0070,0.0015,1.0000,-0.0597,-0.0355,0.2375
