PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
403,Right,0,0.2025,-0.0775,-0.9672,0.1322,0.0140,0.0146,-0.0018,-0.0000,0.0000,-0.1021,-3.6072,1.9770,8.7964,0.0002,0.0002,-0.0000,1.0000,-0.0901,0.0494,0.2199
403,Left,0,0.2171,0.0442,-0.9685,-0.1139,0.0061,0.0043,0.0055,0.0000,-0.0000,-0.0562,-4.0054,-1.3161,8.7985,0.0001,0.0001,0.0001,1.0000,-0.1001,-0.0329,0.2200
403,Pelvis,0,0.3387,-0.5706,0.5042,0.5527,-0.2746,-0.4425,-0.1371,-0.0000,-0.0000,0.4050,9.9445,-2.0412,1.1595,-0.0034,-0.0055,-0.0017,1.0000,0.2484,-0.0514,0.0305
404,Right,0,0.2029,-0.0776,-0.9671,0.1322,0.0171,0.0262,-0.0024,-0.0102,0.0278,-0.0903,-3.6118,1.9509,8.8133,0.0002,0.0003,-0.0000,1.0000,-0.0902,0.0487,0.2204
404,Left,0,0.2172,0.0440,-0.9685,-0.1138,0.0067,0.0079,0.0092,0.0183,-0.0284,-0.0380,-4.0363,-1.2944,8.8078,0.0001,0.0001,0.0001,1.0000,-0.1009,-0.0324,0.2202
404,Pelvis,0,0.3438,-0.5691,0.5078,0.5478,0.5795,-0.2709,0.0844,-1.2181,-0.1697,1.0153,10.6980,-1.0697,1.7794,0.0072,-0.0034,0.0011,1.0000,0.2673,-0.0268,0.0452
405,Right,0,0.2033,-0.0778,-0.9670,0.1321,0.0171,0.0336,-0.0018,0.0126,0.0184,-0.1113,-3.6282,1.9642,8.7804,0.0002,0.0004,-0.0000,1.0000,-0.0906,0.0491,0.2196
405,Left,0,0.2173,0.0439,-0.9685,-0.1137,0.0085,0.0073,0.0085,0.0310,-0.0305,-0.0428,-4.0481,-1.2918,8.7975,0.0001,0.0001,0.0001,1.0000,-0.1012,-0.0323,0.2199
405,Pelvis,0,0.3479,-0.5695,0.5080,0.5446,0.2575,-0.2694,0.0022,-0.7358,-0.2137,0.0111,9.6486,-1.3198,1.5021,0.0032,-0.0034,0.0000,1.0000,0.2411,-0.0331,0.0383
406,Right,0,0.2038,-0.0779,-0.9669,0.1321,0.0177,0.0378,-0.0018,0.0086,0.0193,-0.1024,-3.6361,1.9679,8.7861,0.0002,0.0005,-0.0000,1.0000,-0.0908,0.0492,0.2197
