PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
658,Left,0,0.2026,0.0373,-0.9745,-0.0895,0.0055,0.0031,-0.0024,-0.0000,0.0000,-0.0488,-3.7899,-1.0632,8.9354,0.0001,0.0000,-0.0000,1.0000,-0.0947,-0.0266,0.2234
658,Right,0,0.1544,-0.1629,-0.9345,-0.2763,0.0079,0.0049,0.0018,-0.0000,0.0000,-0.0839,-3.6832,2.1322,8.7485,0.0001,0.0001,0.0000,1.0000,-0.0921,0.0533,0.2187
658,Pelvis,0,0.2423,0.8886,-0.3895,-0.0056,0.0707,1.2426,3.0985,0.0000,0.0000,-0.1275,-1.8867,-6.6674,-6.7675,0.0009,0.0155,0.0387,0.9991,-0.0433,-0.1683,-0.1686
659,Left,0,0.2026,0.0372,-0.9745,-0.0895,0.0055,0.0024,-0.0012,-0.0101,0.0221,-0.0632,-3.7709,-1.0817,8.9255,0.0001,0.0000,-0.0000,1.0000,-0.0943,-0.0271,0.2231
659,Right,0,0.1544,-0.1630,-0.9345,-0.2763,0.0085,0.0067,0.0012,-0.0135,-0.0055,-0.0855,-3.6746,2.1439,8.7476,0.0001,0.0001,0.0000,1.0000,-0.0918,0.0536,0.2187
659,Pelvis,0,0.2952,0.8656,-0.4036,-0.0252,2.0735,2.7758,3.6010,-3.3956,1.3861,-2.5612,2.2259,-5.9227,-5.1031,0.0259,0.0347,0.0450,0.9980,0.0576,-0.1421,-0.1333
660,Left,0,0.2026,0.0372,-0.9745,-0.0895,0.0073,0.0012,-0.0018,-0.0123,0.0004,-0.0436,-3.7810,-1.0608,8.9450,0.0001,0.0000,-0.0000,1.0000,-0.0945,-0.0265,0.2236
660,Right,0,0.1544,-0.1631,-0.9345,-0.2763,0.0067,0.0043,0.0018,0.0054,0.0055,-0.0860,-3.6855,2.1262,8.7467,0.0001,0.0001,0.0000,1.0000,-0.0921,0.0531,0.2187
660,Pelvis,0,0.3265,0.8453,-0.4188,-0.0589,2.2792,2.7734,1.9265,-4.5038,3.1432,-4.8190,4.5140,-4.4056,-3.9191,0.0285,0.0347,0.0241,0.9987,0.1119,-0.1045,-0.1049
661,Left,0,0.2026,0.0370,-0.9745,-0.0896,0.0098,0.0000,-0.0012,-0.0020,0.0081,-0.0388,-3.7909,-1.0688,8.9452,0.0001,0.0000,-0.0000,1.0000,-0.0948,-0.0267,0.2236
661,Right,0,0.1544,-0.1632,-0.9344,-0.2763,0.0079,0.0031,0.0037,0.0051,0.0140,-0.1007,-3.6764,2.1182,8.7362,0.0001,0.0000,0.0000,1.0000,-0.0919,0.0529,0.2184
661,Pelvis,0,0.3499,0.8313,-0.4174,-0.1110,1.4761,3.3466,1.4111,-4.6514,5.2422,-4.1317,6.2051,-4.3287,-4.9200,0.0184,0.0418,0.0176,0.9988,0.1516,-0.1031,-0.1313
662,Left,0,0.2026,0.0369,-0.9745,-0.0896,0.0092,-0.0012,0.0000,-0.0035,-0.0015,-0.0398,-3.7907,-1.0570,8.9455,0.0001,-0.0000,0.0000,1.0000,-0.0948,-0.0265,0.2236
662,Right,0,0.1544,-0.1633,-0.9344,-0.2763,0.0061,0.0006,0.0006,0.0113,0.0047,-0.0736,-3.6962,2.1298,8.7552,0.0001,0.0000,0.0000,1.0000,-0.0924,0.0532,0.2189
662,Pelvis,0,0.3275,0.8259,-0.4142,-0.1978,2.6906,2.4957,-1.1118,-6.2669,4.7658,-2.2916,8.0123,-6.3742,-3.7165,0.0336,0.0312,-0.0139,0.9989,0.1950,-0.1587,-0.1044
663,Left,0,0.2025,0.0368,-0.9745,-0.0896,0.0092,-0.0006,0.0000,-0.0144,-0.0214,-0.0241,-3.7906,-1.0354,8.9653,0.0001,-0.0000,0.0000,1.0000,-0.0948,-0.0259,0.2241
663,Right,0,0.1545,-0.1633,-0.9344,-0.2763,0.0055,0.0043,0.0024,-0.0063,0.0175,-0.0722,-3.6772,2.1312,8.7644,0.0001,0.0001,0.0000,1.0000,-0.0919,0.0533,0.2191
663,Pelvis,0,0.2730,0.8313,-0.3881,-0.2895,0.9775,1.1240,-2.3597,-8.9895,3.4553,1.9575,11.3460,-9.9353,-1.9846,0.0122,0.0140,-0.0295,0.9994,0.2754,-0.2559,-0.0566
664,Left,0,0.2026,0.0367,-0.9745,-0.0896,0.0055,0.0055,-0.0012,-0.0162,0.0000,-0.0347,-3.7813,-1.0534,8.9555,0.0001,0.0001,-0.0000,1.0000,-0.0945,-0.0263,0.2239
664,Right,0,0.1544,-0.1634,-0.9344,-0.2762,0.0061,0.0012,0.0018,-0.0025,0.0099,-0.0897,-3.6776,2.1326,8.7443,0.0001,0.0000,0.0000,1.0000,-0.0919,0.0533,0.2186
664,Pelvis,0,0.2125,0.8290,-0.3654,-0.3662,0.0346,-0.7300,-1.4299,-7.7376,6.1473,4.3149,15.0543,-7.7313,-3.2985,0.0004,-0.0091,-0.0179,0.9998,0.3736,-0.1999,-0.0791
665,Left,0,0.2026,0.0366,-0.9745,-0.0897,0.0073,0.0024,-0.0000,-0.0057,0.0078,-0.0298,-3.7919,-1.0618,8.9553,0.0001,0.0000,-0.0000,1.0000,-0.0948,-0.0266,0.2239
665,Right,0,0.1544,-0.1634,-0.9344,-0.2762,0.0012,-0.0012,0.0018,-0.0139,0.0027,-0.1001,-3.6677,2.1433,8.7343,0.0000,-0.0000,0.0000,1.0000,-0.0917,0.0536,0.2184
665,Pelvis,0,0.1688,0.8295,-0.3541,-0.3976,0.2329,-3.4633,1.5421,-8.6430,5.2698,10.8551,19.9418,-10.8615,-3.7833,0.0029,-0.0433,0.0193,0.9989,0.5071,-0.2616,-0.0735
666,Left,0,0.2026,0.0365,-0.9745,-0.0897,0.0085,-0.0018,0.0012,-0.0096,-0.0088,-0.0536,-3.7823,-1.0404,8.9360,0.0001,-0.0000,0.0000,1.0000,-0.0946,-0.0260,0.2234
666,Right,0,0.1544,-0.1634,-0.9344,-0.2763,0.0006,0.0012,-0.0018,-0.0067,0.0257,-0.0868,-3.6678,2.1240,8.7539,0.0000,0.0000,-0.0000,1.0000,-0.0917,0.0531,0.2188
666,Pelvis,0,0.1307,0.8402,-0.3494,-0.3936,0.0638,-5.8076,2.6148,-8.8202,2.7825,12.6380,20.6860,-12.3303,-3.2645,0.0008,-0.0725,0.0327,0.9968,0.5309,-0.2910,-0.0436
667,Left,0,0.2026,0.0365,-0.9745,-0.0897,0.0037,0.0055,0.0012,-0.0212,-0.0098,-0.0268,-3.7827,-1.0389,8.9652,0.0000,0.0001,0.0000,1.0000,-0.0946,-0.0260,0.2241
667,Right,0,0.1545,-0.1635,-0.9344,-0.2763,0.0043,0.0055,-0.0000,0.0185,0.0272,-0.0603,-3.6979,2.1148,8.7729,0.0001,0.0001,-0.0000,1.0000,-0.0924,0.0529,0.2193
667,Pelvis,0,0.0934,0.8576,-0.3502,-0.3650,0.0559,-7.4928,2.4577,-5.8043,0.4079,7.9647,15.0422,-10.5852,-3.5282,0.0007,-0.0935,0.0307,0.9951,0.3900,-0.2527,-0.0523
668,Left,0,0.2028,0.0365,-0.9744,-0.0897,-0.0031,0.0134,-0.0012,0.0003,0.0179,-0.0377,-3.7946,-1.0682,8.9449,-0.0000,0.0002,-0.0000,1.0000,-0.0948,-0.0267,0.2236
668,Right,0,0.1546,-0.1636,-0.9344,-0.2763,0.0067,0.0092,-0.0000,0.0126,0.0277,-0.0727,-3.6897,2.1159,8.7622,0.0001,0.0001,-0.0000,1.0000,-0.0922,0.0529,0.2191
668,Pelvis,0,0.0688,0.8725,-0.3669,-0.3153,0.8628,-8.0348,3.0075,-4.1089,-2.2107,2.4429,9.2014,-9.1586,-1.9476,0.0108,-0.1002,0.0375,0.9942,0.2419,-0.2196,-0.0272
669,Left,0,0.2030,0.0366,-0.9744,-0.0897,-0.0055,0.0165,-0.0043,-0.0358,0.0010,-0.0117,-3.7784,-1.0498,8.9824,-0.0001,0.0002,-0.0001,1.0000,-0.0944,-0.0262,0.2246
669,Right,0,0.1546,-0.1637,-0.9343,-0.2762,0.0085,0.0085,0.0012,0.0125,0.0272,-0.0727,-3.6916,2.1177,8.7610,0.0001,0.0001,0.0000,1.0000,-0.0923,0.0529,0.2190
669,Pelvis,0,0.0613,0.8790,-0.3980,-0.2555,1.4114,-7.7430,3.5799,-2.4337,-5.8330,-6.0629,1.7763,-6.4240,3.0961,0.0176,-0.0966,0.0447,0.9942,0.0440,-0.1600,0.0789
670,Left,0,0.2032,0.0366,-0.9743,-0.0898,-0.0037,0.0153,-0.0031,0.0065,0.0279,-0.0456,-3.8013,-1.0805,8.9320,-0.0000,0.0002,-0.0000,1.0000,-0.0950,-0.0270,0.2233
