PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
267,Pelvis,0,-0.1281,-0.6363,-0.1517,0.7455,0.0006,-0.0000,-0.0024,-0.0000,-0.0000,-0.0127,9.6778,0.0204,1.5428,0.0000,-0.0000,-0.0000,1.0000,0.2419,0.0005,0.0386
268,Right,0,0.0096,0.0118,-0.3920,0.9198,0.0122,0.0006,0.0055,0.0000,0.0000,-0.1207,-0.2837,0.0825,9.6874,0.0002,0.0000,0.0001,1.0000,-0.0071,0.0020,0.2422
268,Pelvis,0,-0.1281,-0.6363,-0.1517,0.7455,-0.0000,-0.0000,-0.0018,-0.0048,0.0133,-0.0111,9.6778,0.0306,1.5526,-0.0000,-0.0000,-0.0000,1.0000,0.2419,0.0008,0.0388
268,Left,0,0.0133,0.0087,-0.8009,0.5986,0.0012,0.0037,0.0024,0.0000,0.0000,9.6600,-0.3094,0.0203,9.7314,0.0000,0.0001,0.0001,1.0000,-0.0154,0.0010,0.4866
269,Right,0,0.0097,0.0118,-0.3919,0.9199,0.0128,0.0018,0.0055,0.0018,-0.0116,-0.1211,-0.2742,0.0758,9.6874,0.0002,0.0000,0.0001,1.0000,-0.0069,0.0019,0.2422
269,Pelvis,0,-0.1280,-0.6363,-0.1517,0.7455,0.0018,0.0000,-0.0031,0.0016,-0.0000,-0.0031,9.6875,0.0215,1.5428,0.0000,0.0000,-0.0000,1.0000,0.2422,0.0005,0.0386
269,Left,0,0.0134,0.0087,-0.8008,0.5987,0.0024,0.0031,0.0031,-0.0003,-0.0033,-0.0716,-0.3058,0.0209,9.7362,0.0000,0.0000,0.0000,1.0000,-0.0076,0.0005,0.2434
270,Right,0,0.0099,0.0117,-0.3919,0.9199,0.0122,0.0012,0.0067,0.0089,-0.0046,-0.1308,-0.2746,0.0886,9.6776,0.0002,0.0000,0.0001,1.0000,-0.0069,0.0022,0.2419
270,Pelvis,0,-0.1280,-0.6363,-0.1517,0.7454,0.0018,-0.0018,-0.0012,0.0002,0.0006,-0.0127,9.6778,0.0221,1.5426,0.0000,-0.0000,-0.0000,1.0000,0.2419,0.0005,0.0386
270,Left,0,0.0134,0.0087,-0.8008,0.5987,0.0018,0.0043,0.0031,0.0025,0.0066,-0.0811,-0.3164,0.0215,9.7264,0.0000,0.0001,0.0000,1.0000,-0.0079,0.0005,0.2432
271,Right,0,0.0100,0.0117,-0.3918,0.9199,0.0116,0.0012,0.0061,-0.0120,-0.0111,-0.1306,-0.2846,0.0720,9.6776,0.0001,0.0000,0.0001,1.0000,-0.0071,0.0018,0.2419
271,Pelvis,0,-0.1280,-0.6363,-0.1517,0.7454,0.0012,-0.0006,-0.0031,-0.0214,-0.0009,-0.0096,9.6778,0.0129,1.5618,0.0000,-0.0000,-0.0000,1.0000,0.2419,0.0003,0.0390
271,Left,0,0.0134,0.0087,-0.8008,0.5987,0.0012,0.0031,0.0031,-0.0005,-0.0033,-0.0619,-0.3076,0.0219,9.7459,0.0000,0.0000,0.0000,1.0000,-0.0077,0.0005,0.2436
272,Right,0,0.0102,0.0116,-0.3917,0.9199,0.0122,0.0006,0.0055,0.0020,-0.0116,-0.1211,-0.2751,0.0847,9.6873,0.0002,0.0000,0.0001,1.0000,-0.0069,0.0021,0.2422
272,Pelvis,0,-0.1279,-0.6363,-0.1517,0.7454,0.0018,0.0006,-0.0024,-0.0036,-0.0084,-0.0127,9.6778,0.0136,1.5423,0.0000,0.0000,-0.0000,1.0000,0.2419,0.0003,0.0386
272,Left,0,0.0135,0.0087,-0.8008,0.5988,0.0024,0.0037,0.0043,-0.0070,0.0091,-0.0713,-0.3181,0.0126,9.7361,0.0000,0.0000,0.0001,1.0000,-0.0079,0.0003,0.2434
273,Right,0,0.0103,0.0116,-0.3917,0.9200,0.0110,0.0012,0.0043,-0.0048,-0.0045,-0.1208,-0.2851,0.0875,9.6873,0.0001,0.0000,0.0001,1.0000,-0.0071,0.0022,0.2422
273,Pelvis,0,-0.1279,-0.6364,-0.1517,0.7454,0.0006,-0.0006,-0.0024,-0.0035,-0.0084,-0.0127,9.6778,0.0143,1.5423,0.0000,-0.0000,-0.0000,1.0000,0.2419,0.0003,0.0386
273,Left,0,0.0136,0.0087,-0.8007,0.5988,0.0031,0.0031,0.0037,-0.0126,-0.0100,-0.0622,-0.2994,0.0133,9.7459,0.0000,0.0000,0.0000,1.0000,-0.0075,0.0003,0.2436
274,Right,0,0.0105,0.0116,-0.3916,0.9200,0.0134,0.0012,0.0067,-0.0049,-0.0186,-0.1114,-0.2756,0.0808,9.6970,0.0002,0.0000,0.0001,1.0000,-0.0069,0.0020,0.2424
274,Pelvis,0,-0.1279,-0.6364,-0.1517,0.7454,0.0012,0.0006,-0.0018,0.0129,-0.0152,-0.0254,9.6681,0.0148,1.5228,0.0000,0.0000,-0.0000,1.0000,0.2417,0.0004,0.0381
274,Left,0,0.0136,0.0087,-0.8007,0.5988,0.0018,0.0031,0.0037,-0.0097,-0.0003,-0.0717,-0.3099,0.0139,9.7361,0.0000,0.0000,0.0000,1.0000,-0.0077,0.0003,0.2434
275,Right,0,0.0106,0.0115,-0.3915,0.9200,0.0116,0.0006,0.0061,-0.0258,-0.0103,-0.1402,-0.2953,0.0740,9.6677,0.0001,0.0000,0.0001,1.0000,-0.0074,0.0018,0.2417
275,Pelvis,0,-0.1279,-0.6364,-0.1518,0.7454,0.0006,-0.0024,-0.0031,-0.0034,-0.0082,-0.0127,9.6779,0.0154,1.5421,0.0000,-0.0000,-0.0000,1.0000,0.2419,0.0004,0.0386
275,Left,0,0.0136,0.0087,-0.8007,0.5989,0.0024,0.0037,0.0024,-0.0096,-0.0003,-0.0717,-0.3107,0.0145,9.7361,0.0000,0.0000,0.0000,1.0000,-0.0078,0.0004,0.2434
276,Right,0,0.0107,0.0115,-0.3915,0.9201,0.0128,0.0006,0.0061,-0.0121,-0.0245,-0.1310,-0.2759,0.0770,9.6775,0.0002,0.0000,0.0001,1.0000,-0.0069,0.0019,0.2419
276,Pelvis,0,-0.1278,-0.6364,-0.1518,0.7454,0.0018,-0.0012,-0.0024,-0.0161,-0.0133,-0.0112,9.6779,0.0064,1.5514,0.0000,-0.0000,-0.0000,1.0000,0.2419,0.0002,0.0388
276,Left,0,0.0137,0.0087,-0.8007,0.5989,0.0018,0.0031,0.0024,0.0063,-0.0157,-0.0524,-0.3018,0.0345,9.7556,0.0000,0.0000,0.0000,1.0000,-0.0075,0.0009,0.2439
277,Right,0,0.0109,0.0114,-0.3914,0.9201,0.0128,0.0012,0.0049,-0.0189,-0.0310,-0.1311,-0.2762,0.0704,9.6775,0.0002,0.0000,0.0001,1.0000,-0.0069,0.0017,0.2419
