PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
3580607,Left,2,0.0071,-0.0005,-0.9794,0.2018,0.0094,0.0015,0.0033,-0.0880,-0.1058,-0.0924,-0.0101,0.1014,9.7207,0.0001,0.0000,0.0000,1.0000,-0.0002,0.0025,0.2430
3580607,Right,2,0.0071,0.0053,-1.0000,0.0017,0.0038,0.0063,-0.0031,-0.1239,-0.0904,-0.0674,-0.0139,-0.0138,9.7465,0.0000,0.0001,-0.0000,1.0000,-0.0003,-0.0004,0.2437
3580607,Pelvis,2,-0.6709,-0.0191,-0.7409,0.0221,0.0024,0.0012,0.0019,0.0100,-0.0839,-0.0077,9.7564,0.0708,0.9756,0.0000,0.0000,0.0000,1.0000,0.2439,0.0018,0.0244
3580608,Left,2,0.0071,-0.0005,-0.9794,0.2018,0.0083,0.0033,0.0025,-0.0901,-0.0803,-0.0789,-0.0185,0.0769,9.7342,0.0001,0.0000,0.0000,1.0000,-0.0005,0.0019,0.2434
3580608,Right,2,0.0070,0.0053,-1.0000,0.0017,0.0037,0.0046,-0.0017,-0.1348,-0.0813,-0.0374,-0.0034,-0.0230,9.7765,0.0000,0.0001,-0.0000,1.0000,-0.0001,-0.0006,0.2444
3580608,Pelvis,2,-0.6709,-0.0190,-0.7409,0.0220,0.0018,0.0000,0.0013,-0.0084,-0.0722,-0.0089,9.7569,0.0580,0.9579,0.0000,0.0000,0.0000,1.0000,0.2439,0.0015,0.0239
3580609,Left,2,0.0071,-0.0005,-0.9794,0.2018,0.0083,0.0033,0.0025,-0.0885,-0.0893,-0.0857,-0.0166,0.0855,9.7274,0.0001,0.0000,0.0000,1.0000,-0.0004,0.0021,0.2432
3580609,Right,2,0.0070,0.0053,-1.0000,0.0017,0.0023,0.0057,-0.0015,-0.1361,-0.0893,-0.0488,-0.0018,-0.0148,9.7653,0.0000,0.0001,-0.0000,1.0000,-0.0000,-0.0004,0.2441
3580609,Pelvis,2,-0.6709,-0.0190,-0.7409,0.0220,0.0025,0.0018,0.0012,0.0022,-0.0622,0.0003,9.7650,0.0487,0.9699,0.0000,0.0000,0.0000,1.0000,0.2441,0.0012,0.0242
3580610,Left,2,0.0071,-0.0005,-0.9794,0.2018,0.0095,0.0013,0.0014,-0.0779,-0.0822,-0.0808,-0.0292,0.0829,9.7322,0.0001,0.0000,0.0000,1.0000,-0.0007,0.0020,0.2433
3580610,Right,2,0.0070,0.0053,-1.0000,0.0018,0.0029,0.0052,-0.0013,-0.1409,-0.0852,-0.0338,0.0027,-0.0192,9.7803,0.0000,0.0001,-0.0000,1.0000,0.0001,-0.0005,0.2445
3580610,Pelvis,2,-0.6709,-0.0190,-0.7410,0.0220,0.0012,0.0019,0.0018,0.0016,-0.0716,0.0010,9.7658,0.0580,0.9690,0.0000,0.0000,0.0000,1.0000,0.2441,0.0015,0.0242
3580611,Left,2,0.0071,-0.0005,-0.9794,0.2018,0.0108,0.0014,0.0021,-0.0831,-0.0927,-0.0721,-0.0203,0.0907,9.7409,0.0001,0.0000,0.0000,1.0000,-0.0005,0.0022,0.2435
