PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
21099,Pelvis,0,-0.7263,0.0543,-0.6852,0.0086,0.3431,0.1172,-0.1231,0.0000,-0.0000,-0.3129,9.4481,-0.8142,-0.5615,0.0043,0.0015,-0.0015,1.0000,0.2362,-0.0207,-0.0145
21099,Left,0,0.0469,0.1100,-0.9113,0.3940,0.0308,0.0350,0.0273,-0.0000,0.0000,-0.0641,-1.6826,-1.5899,9.4697,0.0004,0.0004,0.0003,1.0000,-0.0419,-0.0399,0.2367
21099,Right,0,0.3147,-0.2434,-0.9125,-0.0951,0.2643,-1.3347,2.3008,0.0000,-0.0000,4.2433,-8.4036,5.6818,9.7330,0.0033,-0.0167,0.0288,0.9994,-0.2181,0.1351,0.2402
21100,Pelvis,0,-0.7255,0.0501,-0.6863,0.0099,0.3113,0.1018,-0.1710,0.1215,0.1725,-0.4253,9.3280,-0.9779,-0.4459,0.0039,0.0013,-0.0021,1.0000,0.2331,-0.0249,-0.0115
21100,Left,0,0.0475,0.1093,-0.9112,0.3944,0.0649,0.0228,0.0387,-0.0136,-0.0378,-0.1310,-1.6338,-1.5596,9.4146,0.0008,0.0003,0.0005,1.0000,-0.0408,-0.0392,0.2353
21100,Right,0,0.2913,-0.2524,-0.9203,-0.0672,-0.0153,-1.2856,2.7811,1.4118,1.6329,0.6100,-7.3476,2.3930,7.3224,-0.0002,-0.0161,0.0348,0.9993,-0.1885,0.0534,0.1800
21101,Pelvis,0,-0.7249,0.0461,-0.6872,0.0124,0.3081,0.0709,-0.2185,-0.0527,0.3705,-0.3531,9.3763,-1.1595,-0.6042,0.0039,0.0009,-0.0027,1.0000,0.2343,-0.0296,-0.0154
21101,Left,0,0.0483,0.1082,-0.9110,0.3949,0.1025,0.0169,0.0540,-0.0274,0.0026,-0.1320,-1.6594,-1.5745,9.4066,0.0013,0.0002,0.0007,1.0000,-0.0414,-0.0397,0.2351
21101,Right,0,0.2720,-0.2662,-0.9239,-0.0404,0.0952,-0.8751,3.0483,2.9073,2.6752,-0.7264,-7.5348,1.0529,6.3501,0.0012,-0.0109,0.0381,0.9992,-0.1909,0.0189,0.1567
21102,Pelvis,0,-0.7245,0.0414,-0.6879,0.0125,0.3401,0.0549,-0.2473,-0.0163,0.6366,-0.1703,9.5468,-1.3850,-0.5674,0.0043,0.0007,-0.0031,1.0000,0.2386,-0.0353,-0.0145
21102,Left,0,0.0492,0.1067,-0.9109,0.3956,0.1326,0.0108,0.0636,-0.0240,0.0166,-0.0944,-1.6836,-1.5571,9.4439,0.0017,0.0001,0.0008,1.0000,-0.0420,-0.0394,0.2360
21102,Right,0,0.2608,-0.2653,-0.9280,-0.0193,-0.3604,-0.5253,2.8221,5.1937,4.3522,-1.6829,-8.9567,-1.0100,5.5493,-0.0045,-0.0066,0.0353,0.9993,-0.2238,-0.0325,0.1374
21103,Pelvis,0,-0.7242,0.0384,-0.6884,0.0127,0.3819,0.0350,-0.2452,-0.1437,0.6396,0.0449,9.7611,-1.3607,-0.6875,0.0048,0.0004,-0.0031,1.0000,0.2439,-0.0347,-0.0175
21103,Left,0,0.0502,0.1052,-0.9107,0.3963,0.1382,0.0217,0.0712,-0.0406,-0.0105,-0.1007,-1.6584,-1.5156,9.4487,0.0017,0.0003,0.0009,1.0000,-0.0414,-0.0383,0.2362
21103,Right,0,0.2647,-0.2455,-0.9324,-0.0186,-0.1154,-0.2947,2.2237,7.1915,5.6654,-3.0780,-10.0292,-3.4200,4.1130,-0.0014,-0.0037,0.0278,0.9996,-0.2486,-0.0923,0.1020
