PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
37566534,Left,0,0.0283,-0.0219,-0.9985,0.0412,-0.3900,-0.4970,0.2262,0.0000,-0.0000,-0.1491,-0.4683,0.3995,9.6440,-0.0049,-0.0062,0.0028,1.0000,-0.0132,0.0111,0.2410
37566534,Pelvis,0,-0.2531,-0.6150,-0.2904,0.6880,0.0012,0.0012,0.0012,-0.0000,0.0000,0.0091,9.7558,0.0875,1.1336,0.0000,0.0000,0.0000,1.0000,0.2439,0.0022,0.0283
37566534,Right,0,-0.0039,0.0012,-0.9985,-0.0540,0.0006,0.0049,0.0061,-0.0000,0.0000,-0.0467,0.0763,-0.0192,9.7656,0.0000,0.0001,0.0001,1.0000,0.0019,-0.0005,0.2441
37566535,Left,0,0.0225,-0.0183,-0.9986,0.0438,-0.3094,-0.4528,0.2098,-0.3154,0.2543,0.3052,-0.2039,0.1486,10.1229,-0.0039,-0.0057,0.0026,1.0000,-0.0065,0.0047,0.2530
37566535,Pelvis,0,-0.2530,-0.6150,-0.2903,0.6881,0.0012,0.0031,0.0012,-0.0286,0.0147,0.0027,9.7459,0.0775,1.1634,0.0000,0.0000,0.0000,1.0000,0.2436,0.0019,0.0291
37566535,Right,0,-0.0038,0.0012,-0.9985,-0.0539,0.0000,0.0049,0.0061,0.0122,0.0083,-0.0175,0.0654,-0.0289,9.7949,0.0000,0.0001,0.0001,1.0000,0.0016,-0.0007,0.2449
37566536,Left,0,0.0189,-0.0163,-0.9987,0.0454,-0.1533,-0.2592,0.1139,-0.3614,0.1918,0.2458,-0.0561,0.1402,10.0657,-0.0019,-0.0032,0.0014,1.0000,-0.0022,0.0040,0.2516
37566536,Pelvis,0,-0.2530,-0.6150,-0.2903,0.6881,0.0012,0.0024,0.0018,-0.0356,0.0078,0.0026,9.7459,0.0674,1.1640,0.0000,0.0000,0.0000,1.0000,0.2436,0.0017,0.0291
37566536,Right,0,-0.0037,0.0012,-0.9985,-0.0538,0.0000,0.0067,0.0073,0.0314,0.0063,-0.0567,0.0444,-0.0289,9.7559,0.0000,0.0001,0.0001,1.0000,0.0011,-0.0007,0.2439
37566537,Left,0,0.0158,-0.0142,-0.9987,0.0460,-0.1034,-0.1354,0.0501,-0.2548,0.2019,-0.0426,-0.0776,0.0793,9.7749,-0.0013,-0.0017,0.0006,1.0000,-0.0024,0.0023,0.2444
37566537,Pelvis,0,-0.2530,-0.6150,-0.2903,0.6881,0.0012,0.0012,0.0006,-0.0271,0.0129,0.0221,9.7654,0.0769,1.1645,0.0000,0.0000,0.0000,1.0000,0.2441,0.0019,0.0291
37566537,Right,0,-0.0037,0.0012,-0.9985,-0.0537,0.0006,0.0055,0.0079,0.0035,0.0191,-0.0272,0.0722,-0.0386,9.7852,0.0000,0.0001,0.0001,1.0000,0.0018,-0.0010,0.2446
37566538,Left,0,0.0112,-0.0103,-0.9988,0.0466,-0.1679,-0.1757,0.0502,-0.1612,0.0833,-0.1996,-0.0747,0.1307,9.6136,-0.0021,-0.0022,0.0006,1.0000,-0.0024,0.0038,0.2403
