PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
12347,Left,0,0.2080,0.0179,-0.9606,-0.1835,0.0037,0.0055,-0.0031,-0.0000,-0.0000,-0.0237,-3.8489,-1.0830,8.9351,0.0000,0.0001,-0.0000,1.0000,-0.0962,-0.0271,0.2234
12347,Right,0,0.1540,-0.1598,-0.9073,-0.3570,0.0140,0.0006,0.0061,-0.0000,-0.0000,-0.0857,-3.8278,1.7535,8.7686,0.0002,0.0000,0.0001,1.0000,-0.0957,0.0438,0.2192
12347,Pelvis,0,-0.5382,0.4289,-0.5696,-0.4493,-0.0098,0.0153,-0.0037,-0.0000,0.0000,0.0350,9.8338,-0.0481,0.5214,-0.0001,0.0002,-0.0000,1.0000,0.2458,-0.0012,0.0130
12348,Left,0,0.2081,0.0178,-0.9606,-0.1835,0.0037,0.0055,-0.0018,-0.0244,0.0191,-0.0253,-3.8207,-1.0922,8.9445,0.0000,0.0001,-0.0000,1.0000,-0.0955,-0.0273,0.2236
12348,Right,0,0.1539,-0.1600,-0.9073,-0.3570,0.0140,0.0006,0.0061,-0.0009,0.0186,-0.1057,-3.8081,1.7377,8.7582,0.0002,0.0000,0.0001,1.0000,-0.0952,0.0434,0.2190
12348,Pelvis,0,-0.5381,0.4289,-0.5696,-0.4495,-0.0128,0.0128,-0.0031,0.0174,-0.0335,-0.0317,9.7652,-0.0572,0.5541,-0.0002,0.0002,-0.0000,1.0000,0.2441,-0.0014,0.0138
12349,Left,0,0.2082,0.0178,-0.9606,-0.1835,0.0043,0.0055,-0.0024,-0.0319,0.0104,-0.0174,-3.8219,-1.0817,8.9538,0.0001,0.0001,-0.0000,1.0000,-0.0955,-0.0271,0.2239
12349,Right,0,0.1539,-0.1602,-0.9073,-0.3569,0.0134,0.0031,0.0055,-0.0195,0.0042,-0.0702,-3.8180,1.7705,8.7866,0.0002,0.0000,0.0001,1.0000,-0.0954,0.0442,0.2197
12349,Pelvis,0,-0.5379,0.4288,-0.5697,-0.4497,-0.0079,0.0098,-0.0049,0.0818,-0.0066,-0.0318,9.7651,-0.1247,0.5470,-0.0001,0.0001,-0.0001,1.0000,0.2441,-0.0031,0.0136
12350,Left,0,0.2082,0.0177,-0.9605,-0.1836,0.0049,0.0043,-0.0024,-0.0172,0.0278,-0.0331,-3.8229,-1.1005,8.9340,0.0001,0.0001,-0.0000,1.0000,-0.0956,-0.0275,0.2234
12350,Right,0,0.1538,-0.1603,-0.9073,-0.3569,0.0134,0.0012,0.0055,0.0026,-0.0047,-0.0730,-3.8378,1.7643,8.7761,0.0002,0.0000,0.0001,1.0000,-0.0959,0.0441,0.2194
12350,Pelvis,0,-0.5379,0.4287,-0.5697,-0.4498,0.0012,0.0073,-0.0049,0.0861,-0.0240,-0.0210,9.7747,-0.1236,0.5686,0.0000,0.0001,-0.0001,1.0000,0.2444,-0.0031,0.0142
12351,Left,0,0.2082,0.0177,-0.9605,-0.1836,0.0043,0.0024,-0.0037,-0.0074,0.0025,-0.0276,-3.8431,-1.0802,8.9337,0.0001,0.0000,-0.0000,1.0000,-0.0961,-0.0270,0.2233
12351,Right,0,0.1537,-0.1605,-0.9073,-0.3569,0.0134,-0.0006,0.0067,0.0178,0.0050,-0.0853,-3.8376,1.7482,8.7657,0.0002,-0.0000,0.0001,1.0000,-0.0959,0.0437,0.2192
12351,Pelvis,0,-0.5378,0.4286,-0.5698,-0.4499,0.0006,0.0061,0.0000,0.0454,-0.0203,-0.0022,9.7942,-0.0839,0.5605,0.0000,0.0001,0.0000,1.0000,0.2449,-0.0021,0.0140
12352,Left,0,0.2082,0.0176,-0.9605,-0.1837,0.0049,0.0012,-0.0018,-0.0116,0.0056,-0.0403,-3.8337,-1.0795,8.9239,0.0001,0.0000,-0.0000,1.0000,-0.0958,-0.0270,0.2231
12352,Right,0,0.1537,-0.1607,-0.9073,-0.3568,0.0134,0.0012,0.0055,0.0110,-0.0018,-0.0836,-3.8374,1.7615,8.7651,0.0002,0.0000,0.0001,1.0000,-0.0959,0.0440,0.2191
12352,Pelvis,0,-0.5378,0.4286,-0.5698,-0.4499,0.0037,0.0024,-0.0006,0.0521,-0.0073,0.0168,9.8137,-0.0935,0.5519,0.0000,0.0000,-0.0000,1.0000,0.2453,-0.0023,0.0138
12353,Left,0,0.2082,0.0175,-0.9605,-0.1837,0.0049,0.0024,-0.0018,-0.0160,0.0154,-0.0214,-3.8341,-1.0883,8.9434,0.0001,0.0000,-0.0000,1.0000,-0.0958,-0.0272,0.2236
12353,Right,0,0.1536,-0.1608,-0.9073,-0.3568,0.0128,0.0031,0.0061,0.0093,0.0147,-0.0804,-3.8279,1.7552,8.7741,0.0002,0.0000,0.0001,1.0000,-0.0957,0.0438,0.2194
12353,Pelvis,0,-0.5378,0.4286,-0.5699,-0.4498,0.0049,-0.0024,0.0018,0.0384,0.0072,-0.0233,9.7746,-0.0839,0.5323,0.0001,-0.0000,0.0000,1.0000,0.2444,-0.0021,0.0133
12354,Left,0,0.2082,0.0175,-0.9605,-0.1837,0.0049,0.0012,-0.0012,-0.0168,0.0275,-0.0331,-3.8247,-1.0971,8.9336,0.0001,0.0000,-0.0000,1.0000,-0.0956,-0.0274,0.2233
