PacketId,Role,StatusWord,Qx,Qy,Qz,Qw,Gx,Gy,Gz,FreeAx,FreeAy,FreeAz,Ax,Ay,Az,DQx,DQy,DQz,DQw,DVx,DVy,DVz
25170,Right,2,0.1538,-0.0407,-0.8628,0.4799,0.0144,0.0070,0.0053,-0.0340,-0.0737,-0.0483,-2.1306,2.1374,9.2867,0.0002,0.0001,0.0001,1.0000,-0.0532,0.0534,0.2322
25170,Pelvis,2,-0.6620,-0.0577,-0.7453,0.0549,-0.0512,-0.0427,-0.0012,-0.0545,0.0043,0.0805,9.8303,0.1190,1.1092,-0.0006,-0.0005,-0.0000,1.0000,0.2457,0.0030,0.0279
25170,Left,2,0.1512,0.0603,-0.9812,-0.1040,0.0124,0.0134,0.0077,-0.1105,0.0221,-0.0771,-2.6574,-1.4580,9.2524,0.0002,0.0002,0.0001,1.0000,-0.0664,-0.0365,0.2313
25171,Right,2,0.1540,-0.0408,-0.8627,0.4800,0.0205,0.0164,0.0094,-0.0671,-0.0774,-0.0614,-2.1103,2.1132,9.2833,0.0003,0.0002,0.0001,1.0000,-0.0527,0.0528,0.2321
25171,Pelvis,2,-0.6623,-0.0573,-0.7451,0.0544,-0.0396,-0.0287,-0.0037,0.0015,0.0280,0.0662,9.8104,0.1039,1.1577,-0.0005,-0.0004,-0.0000,1.0000,0.2452,0.0026,0.0290
25171,Left,2,0.1513,0.0603,-0.9811,-0.1041,0.0109,0.0113,0.0067,-0.0966,0.0204,-0.0600,-2.6778,-1.4610,9.2639,0.0001,0.0001,0.0001,1.0000,-0.0669,-0.0366,0.2316
25172,Right,2,0.1544,-0.0411,-0.8629,0.4795,0.0267,0.0228,0.0130,-0.0540,-0.0653,-0.0237,-2.1390,2.1310,9.3121,0.0003,0.0003,0.0002,1.0000,-0.0534,0.0532,0.2328
25172,Pelvis,2,-0.6624,-0.0571,-0.7450,0.0541,-0.0310,-0.0136,-0.0038,0.0481,0.0363,0.0893,9.8283,0.1033,1.2022,-0.0004,-0.0002,-0.0000,1.0000,0.2457,0.0026,0.0301
25172,Left,2,0.1513,0.0603,-0.9811,-0.1042,0.0097,0.0078,0.0039,-0.1099,0.0313,-0.0501,-2.6672,-1.4707,9.2761,0.0001,0.0001,0.0000,1.0000,-0.0667,-0.0368,0.2319
25173,Right,2,0.1547,-0.0411,-0.8626,0.4798,0.0222,0.0202,0.0110,-0.0360,-0.0872,-0.0477,-2.1281,2.1577,9.2833,0.0003,0.0003,0.0001,1.0000,-0.0532,0.0539,0.2321
25173,Pelvis,2,-0.6624,-0.0568,-0.7450,0.0538,-0.0292,-0.0011,-0.0038,0.0758,0.0269,0.0490,9.7854,0.1166,1.2215,-0.0004,-0.0000,-0.0000,1.0000,0.2446,0.0029,0.0305
25173,Left,2,0.1514,0.0603,-0.9811,-0.1041,0.0088,0.0072,0.0042,-0.1267,0.0400,-0.0707,-2.6446,-1.4733,9.2606,0.0001,0.0001,0.0001,1.0000,-0.0661,-0.0369,0.2315
25174,Right,2,0.1549,-0.0412,-0.8626,0.4798,0.0133,0.0169,0.0087,-0.0377,-0.1007,-0.0375,-2.1218,2.1696,9.2928,0.0002,0.0002,0.0001,1.0000,-0.0530,0.0542,0.2323
25174,Pelvis,2,-0.6623,-0.0566,-0.7452,0.0536,-0.0222,0.0187,-0.0042,0.0183,0.0528,-0.0013,9.7417,0.0819,1.1656,-0.0003,0.0002,-0.0001,1.0000,0.2435,0.0020,0.0291
25174,Left,2,0.1514,0.0603,-0.9811,-0.1042,0.0114,0.0089,0.0060,-0.1062,0.0352,-0.0978,-2.6582,-1.4684,9.2287,0.0001,0.0001,0.0001,1.0000,-0.0664,-0.0367,0.2307
25175,Right,2,0.1551,-0.0411,-0.8626,0.4797,0.0069,0.0211,0.0056,-0.0330,-0.1012,-0.0183,-2.1317,2.1800,9.3083,0.0001,0.0003,0.0001,1.0000,-0.0532,0.0545,0.2327
25175,Pelvis,2,-0.6620,-0.0565,-0.7455,0.0535,-0.0100,0.0313,0.0014,-0.0007,0.1189,0.0387,9.7826,0.0143,1.1680,-0.0001,0.0004,0.0000,1.0000,0.2446,0.0004,0.0291
25175,Left,2,0.1515,0.0603,-0.9811,-0.1042,0.0088,0.0088,0.0054,-0.1197,0.0246,-0.0583,-2.6604,-1.4616,9.2709,0.0001,0.0001,0.0001,1.0000,-0.0665,-0.0366,0.2318
25176,Right,2,0.1554,-0.0409,-0.8622,0.4804,0.0030,0.0188,0.0056,-0.0467,-0.0666,-0.0046,-2.1615,2.1539,9.3217,0.0000,0.0002,0.0001,1.0000,-0.0540,0.0538,0.2331
25176,Pelvis,2,-0.6617,-0.0564,-0.7458,0.0535,0.0009,0.0379,0.0082,-0.0123,0.1125,0.0560,9.8002,0.0180,1.1662,0.0000,0.0005,0.0001,1.0000,0.2450,0.0005,0.0290
25176,Left,2,0.1516,0.0603,-0.9811,-0.1043,0.0079,0.0078,0.0029,-0.1019,0.0315,-0.0672,-2.6740,-1.4708,9.2560,0.0001,0.0001,0.0000,1.0000,-0.0668,-0.0368,0.2314
25177,Right,2,0.1555,-0.0409,-0.8625,0.4799,0.0001,0.0171,0.0033,-0.0497,-0.0661,-0.0237,-2.1595,2.1468,9.3037,0.0000,0.0002,0.0000,1.0000,-0.0539,0.0537,0.2326
25177,Pelvis,2,-0.6614,-0.0563,-0.7460,0.0537,0.0097,0.0292,0.0096,-0.0001,0.0886,0.0109,9.7531,0.0411,1.1772,0.0001,0.0004,0.0001,1.0000,0.2438,0.0011,0.0293
25177,Left,2,0.1516,0.0603,-0.9811,-0.1041,0.0099,0.0076,0.0026,-0.1260,0.0443,-0.0654,-2.6499,-1.4797,9.2637,0.0001,0.0001,0.0000,1.0000,-0.0662,-0.0370,0.2316
25178,Right,2,0.1555,-0.0409,-0.8629,0.4791,-0.0024,0.0167,0.0019,-0.0339,-0.0791,-0.0370,-2.1565,2.1630,9.2866,-0.0000,0.0002,0.0000,1.0000,-0.0539,0.0541,0.2322
25178,Pelvis,2,-0.6612,-0.0564,-0.7462,0.0539,0.0198,0.0239,0.0087,-0.0110,0.0870,-0.0080,9.7349,0.0392,1.1706,0.0002,0.0003,0.0001,1.0000,0.2434,0.0010,0.0292
25178,Left,2,0.1516,0.0604,-0.9811,-0.1041,0.0099,0.0052,0.0038,-0.1227,0.0296,-0.0836,-2.6515,-1.4635,9.2465,0.0001,0.0001,0.0000,1.0000,-0.0663,-0.0366,0.2312
