Timestamp,PacketId,Pelvis_AccX,Pelvis_AccY,Pelvis_AccZ,Pelvis_GyrX,Pelvis_GyrY,Pelvis_GyrZ,Pelvis_QuatW,Pelvis_QuatX,Pelvis_QuatY,Pelvis_QuatZ,Left_AccX,Left_AccY,Left_AccZ,Left_GyrX,Left_GyrY,Left_GyrZ,Left_QuatW,Left_QuatX,Left_QuatY,Left_QuatZ,Right_AccX,Right_AccY,Right_AccZ,Right_GyrX,Right_GyrY,Right_GyrZ,Right_QuatW,Right_QuatX,Right_QuatY,Right_QuatZ,GaitEvent_LeftStance,GaitEvent_RightStance,GaitEvent_IsWalking,MotionContext_State,MotionContext_Confidence,PD_DirectionDeg,PD_Stability,PD_IsValid,FPA_Left_Deg,FPA_Left_Error,FPA_Left_OnTarget,FPA_Right_Deg,FPA_Right_Error,FPA_Right_OnTarget,FPA_Quality,Stage,Attempt
1784636919225,7539,9.7702,-1.0329,0.6385,-0.0115,-0.0111,0.0128,-0.465639,0.568777,0.378127,0.562754,-3.2242,-0.8449,9.1575,0.0130,0.0047,0.0021,0.600986,0.106846,0.137224,-0.780109,-3.3526,1.7683,9.0361,-0.0103,0.0107,0.0015,-0.039203,0.171018,-0.100054,-0.979390,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919244,7540,9.7784,-1.0468,0.6166,-0.0093,-0.0023,0.0175,-0.465668,0.568936,0.377972,0.562674,-3.2346,-0.8429,9.1557,0.0103,0.0025,0.0036,0.601003,0.106803,0.137210,-0.780104,-3.3533,1.7758,9.0356,-0.0091,0.0093,-0.0003,-0.039203,0.171086,-0.099918,-0.979392,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919260,7541,9.7670,-1.0133,0.6206,-0.0123,-0.0015,0.0224,-0.465708,0.569136,0.377748,0.562589,-3.2352,-0.8403,9.1557,0.0105,0.0020,0.0019,0.601027,0.106753,0.137193,-0.780095,-3.3553,1.7635,9.0258,-0.0117,0.0089,0.0020,-0.039164,0.171158,-0.099748,-0.979398,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919292,7542,9.7748,-0.9866,0.6127,-0.0176,0.0075,0.0281,-0.465783,0.569340,0.377382,0.562565,-3.2376,-0.8246,9.1594,0.0098,0.0010,0.0027,0.601041,0.106691,0.137172,-0.780096,-3.3591,1.7615,9.0350,-0.0109,0.0113,0.0014,-0.039204,0.171238,-0.099609,-0.979397,False,False,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919324,7543,9.7772,-1.0238,0.6027,-0.0260,0.0156,0.0305,-0.465851,0.569550,0.376891,0.562626,-3.2303,-0.8494,9.1307,0.0083,0.0062,0.0037,0.601078,0.106667,0.137209,-0.780065,-3.3505,1.7471,9.0171,-0.0121,0.0114,0.0013,-0.039237,0.171330,-0.099450,-0.979396,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919339,7544,9.7539,-1.0738,0.6431,-0.0302,0.0286,0.0230,-0.465909,0.569648,0.376360,0.562835,-3.1944,-0.8436,9.1373,0.0056,0.0131,0.0035,0.601112,0.106693,0.137318,-0.780016,-3.3642,1.7461,9.0247,-0.0144,0.0122,0.0005,-0.039331,0.171420,-0.099276,-0.979394,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919371,7545,9.7387,-1.0541,0.6547,-0.0316,0.0297,0.0174,-0.465896,0.569738,0.375826,0.563111,-3.2241,-0.8468,9.1668,0.0083,0.0238,0.0055,0.601155,0.106845,0.137480,-0.779933,-3.3403,1.7677,9.0079,-0.0168,0.0136,0.0003,-0.039406,0.171540,-0.099066,-0.979391,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919388,7546,9.6886,-1.0103,0.6771,-0.0340,0.0228,0.0162,-0.465887,0.569837,0.375387,0.563311,-3.2241,-0.8586,9.1398,0.0071,0.0296,0.0032,0.601080,0.107052,0.137691,-0.779925,-3.3691,1.7483,9.0236,-0.0175,0.0173,-0.0017,-0.039305,0.171709,-0.098815,-0.979391,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919419,7547,9.6974,-1.0168,0.6812,-0.0379,0.0153,0.0130,-0.465764,0.570016,0.374960,0.563517,-3.2464,-0.8352,9.1561,0.0065,0.0277,0.0036,0.601050,0.107236,0.137893,-0.779888,-3.3650,1.7333,9.0246,-0.0159,0.0166,-0.0003,-0.039490,0.171832,-0.098648,-0.979379,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919435,7548,9.7125,-1.0385,0.6844,-0.0432,0.0081,0.0111,-0.465545,0.570277,0.374540,0.563712,-3.2639,-0.8382,9.1654,0.0080,0.0225,0.0026,0.601026,0.107371,0.138050,-0.779860,-3.3672,1.7499,9.0332,-0.0110,0.0162,0.0001,-0.039586,0.171966,-0.098518,-0.979365,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919468,7549,9.7224,-1.0795,0.6936,-0.0414,0.0044,0.0084,-0.465294,0.570552,0.374161,0.563893,-3.2669,-0.8575,9.1651,0.0103,0.0201,0.0054,0.601073,0.107497,0.138169,-0.779785,-3.3897,1.7407,9.0196,-0.0086,0.0148,-0.0003,-0.039669,0.172098,-0.098404,-0.979349,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919498,7550,9.7093,-1.0934,0.6927,-0.0376,-0.0030,0.0096,-0.465046,0.570860,0.373846,0.563995,-3.2710,-0.8548,9.1638,0.0093,0.0152,0.0040,0.601106,0.107569,0.138263,-0.779733,-3.3815,1.7472,9.0203,-0.0067,0.0116,0.0024,-0.039775,0.172173,-0.098333,-0.979339,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919515,7551,9.7088,-1.0952,0.7041,-0.0375,-0.0086,0.0044,-0.464744,0.571175,0.373609,0.564081,-3.2784,-0.8345,9.1748,0.0103,0.0127,0.0016,0.601058,0.107627,0.138324,-0.779751,-3.3919,1.7279,9.0487,-0.0047,0.0108,0.0007,-0.039640,0.172265,-0.098229,-0.979339,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
1784636919547,7552,9.7002,-1.0874,0.7209,-0.0375,-0.0095,0.0077,-0.464448,0.571524,0.373341,0.564150,-3.2900,-0.8594,9.1867,0.0027,0.0034,0.0032,0.601066,0.107539,0.138389,-0.779746,-3.3874,1.7271,9.0689,0.0032,0.0059,0.0039,-0.039569,0.172279,-0.098244,-0.979338,True,True,False,Straight,0.500,0.00,0.000,False,,,False,,,False,,Baseline,1
